Person,Age,Weight,Income,Pay Type,Car Value,CC Debt,Gender,Live Alone,Dwell Type,Mall Trips,Nbhd,Have Tried,Pay Type Hourly,Pay Type Salaried,Gender Female,Gender Male,Live Alone No,Live Alone Yes,Dwell Type Apt,Dwell Type Condo,Dwell Type Home,Have Tried No,Have Tried Yes
1,48,175,65500,Hourly,2190,3510,Male,No,Home,7,East,No,1,0,0,1,1,0,0,0,1,1,0
2,33,202,29100,Hourly,2110,740,Female,No,Condo,4,East,Yes,1,0,1,0,1,0,0,1,0,0,1
3,51,188,32200,Salaried,5140,910,Male,No,Condo,1,East,No,0,1,0,1,1,0,0,1,0,1,0
4,56,244,19000,Hourly,700,1620,Female,No,Home,3,West,No,1,0,1,0,1,0,0,0,1,1,0
5,28,218,81400,Salaried,26620,600,Male,No,Apt,3,West,Yes,0,1,0,1,1,0,1,0,0,0,1
6,51,173,73000,Salaried,24520,950,Female,No,Condo,2,East,No,0,1,1,0,1,0,0,1,0,1,0
7,44,182,66400,Salaried,10130,3500,Female,Yes,Condo,6,West,Yes,0,1,1,0,0,1,0,1,0,0,1
8,29,189,46200,Salaried,10250,2860,Male,No,Condo,5,West,Yes,0,1,0,1,1,0,0,1,0,0,1
9,28,200,61100,Salaried,17210,3180,Male,No,Condo,10,West,Yes,0,1,0,1,1,0,0,1,0,0,1
10,29,209,9800,Salaried,2090,1270,Female,Yes,Apt,7,East,Yes,0,1,1,0,0,1,1,0,0,0,1
11,29,171,46600,Salaried,16350,5520,Male,Yes,Home,11,West,Yes,0,1,0,1,0,1,0,0,1,0,1
12,30,243,24500,Salaried,5410,300,Male,No,Home,3,West,Yes,0,1,0,1,1,0,0,0,1,0,1
13,62,246,110900,Salaried,8410,730,Male,Yes,Condo,7,West,Yes,0,1,0,1,0,1,0,1,0,0,1
14,29,228,37200,Salaried,6420,700,Male,Yes,Apt,3,East,Yes,0,1,0,1,0,1,1,0,0,0,1
15,40,230,21800,Hourly,3230,1650,Male,No,Home,4,East,Yes,1,0,0,1,1,0,0,0,1,0,1
16,61,185,28900,Hourly,1300,1030,Male,Yes,Apt,2,South,No,1,0,0,1,0,1,1,0,0,1,0
17,30,215,161600,Salaried,9930,3300,Male,No,Home,5,South,Yes,0,1,0,1,1,0,0,0,1,0,1
18,37,185,8900,Salaried,2200,2500,Male,Yes,Home,5,West,Yes,0,1,0,1,0,1,0,0,1,0,1
19,59,202,69300,Salaried,6270,150,Male,Yes,Apt,1,South,No,0,1,0,1,0,1,1,0,0,1,0
20,45,201,9000,Hourly,1110,810,Female,No,Apt,3,West,No,1,0,1,0,1,0,1,0,0,1,0
21,37,163,65500,Salaried,3860,770,Male,No,Condo,7,East,Yes,0,1,0,1,1,0,0,1,0,0,1
22,34,144,42500,Salaried,7660,1470,Male,Yes,Home,7,East,Yes,0,1,0,1,0,1,0,0,1,0,1
23,26,161,36600,Salaried,10500,1070,Male,No,Condo,5,East,No,0,1,0,1,1,0,0,1,0,1,0
24,32,212,28800,Salaried,3380,1330,Male,No,Home,7,West,Yes,0,1,0,1,1,0,0,0,1,0,1
25,29,221,36700,Hourly,7740,700,Female,No,Home,5,West,Yes,1,0,1,0,1,0,0,0,1,0,1
26,33,220,10900,Salaried,320,830,Male,No,Home,3,East,No,0,1,0,1,1,0,0,0,1,1,0
27,27,211,53100,Salaried,9430,920,Female,No,Home,5,East,Yes,0,1,1,0,1,0,0,0,1,0,1
28,45,205,38500,Salaried,5900,880,Female,No,Condo,1,East,No,0,1,1,0,1,0,0,1,0,1,0
29,51,193,82300,Hourly,9500,720,Female,No,Home,3,East,No,1,0,1,0,1,0,0,0,1,1,0
30,27,183,30700,Hourly,7670,2330,Male,Yes,Home,3,West,Yes,1,0,0,1,0,1,0,0,1,0,1
31,43,171,23900,Salaried,1340,740,Female,No,Condo,2,East,No,0,1,1,0,1,0,0,1,0,1,0
32,49,184,21200,Hourly,1410,800,Female,No,Home,4,East,No,1,0,1,0,1,0,0,0,1,1,0
33,46,191,16200,Hourly,890,1200,Male,No,Home,4,South,No,1,0,0,1,1,0,0,0,1,1,0
34,52,221,15600,Hourly,1410,340,Female,Yes,Apt,2,East,No,1,0,1,0,0,1,1,0,0,1,0
35,31,153,53600,Salaried,14830,360,Male,No,Condo,6,West,Yes,0,1,0,1,1,0,0,1,0,0,1
36,52,197,16300,Hourly,4240,3210,Female,No,Home,5,West,No,1,0,1,0,1,0,0,0,1,1,0
37,43,165,37600,Salaried,4480,620,Female,No,Home,2,East,No,0,1,1,0,1,0,0,0,1,1,0
38,38,179,37800,Salaried,7340,2740,Male,No,Apt,8,West,Yes,0,1,0,1,1,0,1,0,0,0,1
39,38,198,58800,Salaried,21510,440,Male,Yes,Apt,6,West,Yes,0,1,0,1,0,1,1,0,0,0,1
40,31,200,14100,Salaried,1950,2140,Male,No,Home,7,East,Yes,0,1,0,1,1,0,0,0,1,0,1
41,28,151,28500,Hourly,3630,2520,Male,No,Home,9,West,Yes,1,0,0,1,1,0,0,0,1,0,1
42,24,223,25200,Hourly,3500,290,Female,Yes,Condo,6,West,Yes,1,0,1,0,0,1,0,1,0,0,1
43,29,144,36900,Salaried,3750,370,Male,No,Home,1,East,No,0,1,0,1,1,0,0,0,1,1,0
44,57,243,17600,Salaried,4750,0,Female,No,Apt,0,South,No,0,1,1,0,1,0,1,0,0,1,0
45,37,187,85900,Salaried,23860,690,Male,No,Home,4,West,Yes,0,1,0,1,1,0,0,0,1,0,1
46,48,191,40200,Hourly,3430,1400,Female,No,Home,7,East,No,1,0,1,0,1,0,0,0,1,1,0
47,45,155,52500,Salaried,3490,1200,Female,No,Condo,3,East,No,0,1,1,0,1,0,0,1,0,1,0
48,33,196,33500,Hourly,2050,880,Female,No,Condo,6,West,No,1,0,1,0,1,0,0,1,0,1,0
49,31,215,36800,Salaried,10140,3620,Male,No,Condo,7,West,Yes,0,1,0,1,1,0,0,1,0,0,1
50,35,187,4900,Salaried,1090,4200,Male,No,Home,5,East,Yes,0,1,0,1,1,0,0,0,1,0,1
51,48,203,38600,Salaried,3030,910,Female,No,Home,5,West,Yes,0,1,1,0,1,0,0,0,1,0,1
52,36,199,34400,Salaried,8620,1300,Female,Yes,Home,11,West,Yes,0,1,1,0,0,1,0,0,1,0,1
53,27,185,59600,Salaried,13770,2400,Female,Yes,Home,2,West,Yes,0,1,1,0,0,1,0,0,1,0,1
54,49,220,6600,Hourly,500,910,Male,Yes,Apt,1,East,No,1,0,0,1,0,1,1,0,0,1,0
55,49,198,47600,Salaried,13720,610,Female,No,Condo,1,South,No,0,1,1,0,1,0,0,1,0,1,0
56,42,200,67500,Salaried,700,510,Male,No,Apt,7,West,Yes,0,1,0,1,1,0,1,0,0,0,1
57,29,233,36300,Hourly,5810,2650,Female,No,Home,7,West,Yes,1,0,1,0,1,0,0,0,1,0,1
58,40,197,52600,Salaried,4210,1610,Female,No,Home,3,South,No,0,1,1,0,1,0,0,0,1,1,0
59,25,190,119000,Salaried,5810,180,Female,Yes,Apt,3,West,Yes,0,1,1,0,0,1,1,0,0,0,1
60,31,204,13800,Hourly,360,1170,Female,No,Home,5,West,No,1,0,1,0,1,0,0,0,1,1,0
61,42,203,63800,Salaried,2160,560,Male,No,Home,5,West,Yes,0,1,0,1,1,0,0,0,1,0,1
62,28,258,13100,Salaried,6110,130,Female,No,Condo,3,West,Yes,0,1,1,0,1,0,0,1,0,0,1
63,55,187,17200,Hourly,1310,170,Female,No,Home,3,East,No,1,0,1,0,1,0,0,0,1,1,0
64,36,142,22400,Hourly,2330,470,Male,No,Home,2,West,No,1,0,0,1,1,0,0,0,1,1,0
65,29,187,11300,Hourly,490,510,Female,No,Home,4,South,Yes,1,0,1,0,1,0,0,0,1,0,1
66,27,162,20900,Hourly,580,100,Male,No,Home,0,South,No,1,0,0,1,1,0,0,0,1,1,0
67,32,168,16300,Salaried,4260,3280,Female,No,Home,8,West,Yes,0,1,1,0,1,0,0,0,1,0,1
68,26,203,8000,Hourly,980,1300,Female,No,Condo,10,East,Yes,1,0,1,0,1,0,0,1,0,0,1
69,26,186,12000,Hourly,1270,1980,Female,No,Home,5,South,No,1,0,1,0,1,0,0,0,1,1,0
70,52,251,124600,Salaried,11000,850,Female,No,Condo,4,West,Yes,0,1,1,0,1,0,0,1,0,0,1
71,52,148,106900,Salaried,7430,3990,Male,No,Home,6,West,Yes,0,1,0,1,1,0,0,0,1,0,1
72,54,142,20700,Salaried,10910,2630,Female,Yes,Apt,2,South,Yes,0,1,1,0,0,1,1,0,0,0,1
73,33,195,104600,Salaried,8770,360,Male,Yes,Home,5,West,Yes,0,1,0,1,0,1,0,0,1,0,1
74,37,211,56900,Hourly,3160,6210,Male,No,Home,6,South,Yes,1,0,0,1,1,0,0,0,1,0,1
